nutzungsart;vermarktungsart;objektart;neubau;plz;ort;strasse;wohnflaeche;grundstuecksflaeche;anzahl_zimmer;anzahl_schlafzimmer;anzahl_badezimmer;Ursprünglicher Angebotspreis;Angebotspreis;Realer Kaufpreis;baujahr;zustand;etagen_zahl;balkon;terrasse;unterkellert;energieausweisbaujahr;auftragvon;auftragbis;auftragsart;verkauft_am
wohnen;kauf;haus;0;97340;Marktbreit;;225.0;974.0;4.0;0;0;0;390000.0;;1918;;0;0;0;NEIN;1918;;;;
wohnen;kauf;haus;0;97340;Marktbreit;;225.0;974.0;4.0;0;0;0;390000.0;;1918;;0;0;0;NEIN;1918;;;;
wohnen;kauf;haus;0;97320;Albertshofen;;260.0;1180.0;6.0;0;2;0;690000.0;;2001;;0;0;0;NEIN;2001;;;;
wohnen;kauf;haus;0;97294;Unterpleichfeld;;173.0;850.0;5.0;0;0;0;348899.0;;;Erstbezug;1;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97294;Unterpleichfeld;;173.0;850.0;5.0;0;0;0;348899.0;;;Erstbezug;1;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97957;Wittighausen;;435.0;1060.0;26.0;7;2;0;333000.0;;1866;;0;0;0;NEIN;1866;;;;
wohnen;kauf;haus;0;97337;Dettelbach;;138.0;751.0;4.5;0;1;0;499000.0;;2016;Neuwertig;0;0;1;NEIN;2016;;;;
wohnen;kauf;haus;0;97297;Waldbüttelbrunn;;256.0;726.0;7.0;4;2;0;680000.0;;1981;;0;1;0;JA;1981;;;;
wohnen;kauf;haus;0;97318;Kitzingen;;126.0;274.0;5.0;0;0;0;385265.0;;2021;Erstbezug;3;0;1;JA;2021;;;;
wohnen;kauf;haus;0;97259;Greußenheim;;154.0;235.0;5.0;0;0;0;324000.0;;2021;Projektiert;2;0;0;NEIN;2021;;;;
wohnen;kauf;haus;0;97259;Greußenheim;;154.0;432.0;5.0;0;0;0;367000.0;;2021;Projektiert;2;0;0;NEIN;2021;;;;
wohnen;kauf;haus;0;97199;Ochsenfurt;;420.0;553.0;16.0;0;0;0;359000.0;;1913;;3;0;0;NEIN;1913;;;;
wohnen;kauf;haus;0;97259;Greußenheim;;120.0;231.0;4.5;0;0;0;195000.0;;1959;Teil- oder vollsaniert;3;0;1;JA;1959;;;;
wohnen;kauf;haus;0;97294;Unterpleichfeld;;165.3;913.0;5.0;0;0;0;169900.0;;;Teil- oder vollrenovierungsbedürftig;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97244;Bütthard;;120.0;193.0;4.5;0;0;0;165000.0;;;;2;0;0;JA;;;;;
wohnen;kauf;haus;0;97255;Sonderhofen;;142.0;620.0;5.0;0;0;0;239599.0;;;Erstbezug;1;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97255;Sonderhofen;;142.0;620.0;5.0;0;0;0;239599.0;;;Erstbezug;1;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97318;Kitzingen;;3282.0;9000.0;0;0;0;0;;;;;2;0;1;NEIN;;;;;
wohnen;kauf;haus;0;97274;Leinach;;42.0;1206.0;2.0;0;0;0;89000.0;;;;2;0;1;JA;;;;;
wohnen;kauf;haus;0;97292;Uettingen;;170.0;380.0;5.0;0;1;0;260000.0;;1700;Teil- oder vollsaniert;0;0;0;NEIN;2000;;;;
wohnen;kauf;haus;0;97292;Uettingen;;169.85;330.0;7.0;0;0;0;245000.0;;1710;;0;0;0;JA;1710;;;;
wohnen;kauf;haus;0;97342;Obernbreit;;191.0;176.0;5.0;0;3;0;417000.0;;1900;;0;0;1;JA;1900;;;;
wohnen;kauf;haus;0;97337;Dettelbach;;142.0;580.0;5.0;0;0;0;329999.0;;;Erstbezug;1;0;0;NEIN;;;;;
wohnen;kauf;haus;1;97291;Thüngersheim;;225.88;690.0;5.0;0;0;0;1275000.0;;;Neubau;2;0;1;NEIN;2019;;;;
wohnen;kauf;haus;1;97291;Thüngersheim;;225.88;690.0;5.0;0;0;0;1275000.0;;;Neubau;2;0;1;NEIN;2019;;;;
wohnen;kauf;haus;0;97291;Thüngersheim;;190.0;356.0;5.0;0;1;0;698000.0;;1996;;0;1;1;JA;1996;;;;
wohnen;kauf;haus;0;97318;Kitzingen;;131.0;0;0;0;0;0;;;;Projektiert;0;0;0;JA;;;;;
wohnen;kauf;haus;0;97274;Leinach;;203.52;2077.0;8.0;6;2;0;425000.0;;1968;;0;1;1;NEIN;1968;;;;
wohnen;kauf;haus;1;97337;Dettelbach;;125.0;400.0;5.0;0;0;0;390000.0;;2021;Neubau;0;0;1;NEIN;2021;;;;
wohnen;kauf;haus;0;97255;Gelchsheim;;110.0;567.0;4.0;0;0;0;227000.0;;2021;Projektiert;0;0;0;NEIN;2021;;;;
wohnen;kauf;haus;0;97255;Gelchsheim;;134.0;567.0;5.0;0;0;0;283000.0;;2021;Projektiert;0;0;0;NEIN;2021;;;;
wohnen;kauf;haus;0;97255;Gelchsheim;;92.0;567.0;3.0;0;0;0;212000.0;;2021;Projektiert;0;0;0;NEIN;2021;;;;
wohnen;kauf;haus;0;97255;Gelchsheim;;150.0;567.0;5.0;0;0;0;277000.0;;2021;Projektiert;0;0;0;NEIN;2021;;;;
wohnen;kauf;haus;0;97255;Gelchsheim;;125.0;567.0;4.0;0;0;0;243000.0;;2021;Projektiert;0;0;0;NEIN;2021;;;;
wohnen;kauf;haus;0;97255;Gelchsheim;;133.0;567.0;5.0;0;0;0;271000.0;;2021;Projektiert;0;0;0;NEIN;2021;;;;
wohnen;kauf;haus;0;97255;Gelchsheim;;137.0;610.0;4.0;0;0;0;230999.0;;;Erstbezug;1;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97255;Gelchsheim;;137.0;610.0;4.0;0;0;0;230999.0;;;Erstbezug;1;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97957;Wittighausen;;134.0;0;4.0;0;0;0;228000.0;;2020;Projektiert;0;0;0;NEIN;2020;;;;
wohnen;kauf;haus;0;97350;Mainbernheim;;296.0;738.0;12.5;0;0;0;405000.0;;1971;;0;0;0;NEIN;1971;;;;
wohnen;kauf;haus;0;97262;Hausen;;313.0;1201.0;16.0;1;8;0;399000.0;;1963;;0;1;1;JA;1963;;;;
wohnen;kauf;haus;0;97283;Riedenheim;;210.0;4220.0;7.0;0;0;0;357000.0;;1958;;0;0;0;NEIN;1958;;;;
