GENESIS-Tabelle: 13211-01-03-5-B;;;;;;;;
Arbeitslose nach ausgewählten Personengruppen -;;;;;;;;
Jahresdurchschnitt - regionale Ebenen;;;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;;;
Jahr: 2019;;;;;;;;
;;Arbeitslose insgesamt;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose
;;;und zwar;und zwar;und zwar;und zwar;und zwar;und zwar
;;;Ausländer;schwerbehindert;15 bis unter 20 Jahre;15 bis unter 25 Jahre;55 bis unter 65 Jahre;langzeitarbeitslos
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
1054083;Midlum;6;1;0;0;0;1;1
1054084;Mildstedt;63;9;5;3;10;16;25
1054085;Nebel;16;4;1;0;1;4;3
1054086;Neukirchen;27;1;2;0;1;9;12
1054087;Nieblum;5;1;.;.;0;1;1
1054088;Niebüll;249;48;7;7;30;60;87
1054089;Norddorf auf Amrum;13;2;0;0;1;2;.
1054090;Norderfriedrichskoog;.;.;.;.;.;.;.
1054091;Nordstrand;50;5;3;1;4;15;12
1054092;Norstedt;7;.;1;0;0;3;2
1054093;Ockholm;8;.;0;0;1;2;4
1054094;Oevenum;7;1;0;0;0;3;1
1054095;Oldenswort;23;2;1;1;2;7;8
1054096;Oldersbek;16;1;1;0;2;4;7
1054097;Olderup;11;.;1;1;2;3;6
1054098;Oldsum;7;0;0;0;1;2;3
1054099;Ostenfeld (Husum);25;1;3;1;4;9;9
1054100;Osterhever;2;.;.;.;0;.;.
1054101;Oster-Ohrstedt;12;1;1;0;1;5;5
1054103;Pellworm;25;1;1;0;2;7;6
1054104;Poppenbüll;1;.;.;.;0;1;.
1054105;Ramstedt;8;.;1;0;1;2;3
1054106;Rantrum;25;3;1;1;5;2;7
1054107;Rantum (Sylt);-;-;.;.;-;-;.
1054108;Reußenköge;4;.;.;.;1;1;1
1054109;Risum-Lindholm;66;2;5;1;6;16;25
1054110;Rodenäs;13;.;1;0;1;5;4
1054113;Sankt Peter-Ording;85;24;4;1;4;22;20
1054116;Schwabstedt;36;1;4;1;4;10;18
1054118;Schwesing;19;0;2;0;2;5;10
1054119;Seeth;12;1;0;0;2;2;7
1054120;Simonsberg;19;1;1;1;3;4;7
1054121;Sönnebüll;5;.;.;.;0;2;2
1054123;Sollwitt;6;.;0;0;0;2;2
1054124;Sprakebüll;4;.;0;0;.;2;0
1054125;Stadum;16;.;1;0;1;3;7
1054126;Stedesand;12;.;2;1;2;4;5
1054128;Struckum;14;2;1;0;2;2;6
1054129;Süderende;1;.;.;.;0;0;.
1054130;Süderhöft;.;.;.;.;.;.;.
1054131;Süderlügum;47;8;4;1;5;10;18
1054132;Südermarsch;6;1;0;0;0;2;3
1054133;Sylt-Ost;-;-;.;.;-;-;.
1054134;Tating;23;3;2;0;2;7;6
1054135;Tetenbüll;8;.;0;0;1;3;2
1054136;Tinningstedt;6;1;0;1;2;2;3
