GENESIS-Tabelle: 13211-01-03-5-B;;;;;;;;
Arbeitslose nach ausgewählten Personengruppen -;;;;;;;;
Jahresdurchschnitt - regionale Ebenen;;;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;;;
Jahr: 2019;;;;;;;;
;;Arbeitslose insgesamt;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose
;;;und zwar;und zwar;und zwar;und zwar;und zwar;und zwar
;;;Ausländer;schwerbehindert;15 bis unter 20 Jahre;15 bis unter 25 Jahre;55 bis unter 65 Jahre;langzeitarbeitslos
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14625620;Wiednitz;-;-;-;-;-;-;-
14625630;Wilthen, Stadt;135;2;11;1;6;54;70
14625640;Wittichenau, Stadt;86;2;7;3;6;37;29
14626010;Bad Muskau, Stadt;147;39;5;1;5;42;66
14626020;Beiersdorf;27;1;1;1;3;12;8
14626030;Bernstadt a. d. Eigen, Stadt;91;6;4;2;5;33;29
14626040;Berthelsdorf;-;-;-;-;-;-;-
14626050;Bertsdorf-Hörnitz;45;2;1;0;2;20;18
14626060;Boxberg/O.L.;130;1;8;3;8;51;54
14626070;Dürrhennersdorf;22;1;3;0;2;13;4
14626080;Ebersbach/Sa., Stadt;-;-;-;-;-;-;-
14626085;Ebersbach-Neugersdorf, Stadt;387;18;25;8;30;124;179
14626090;Eibau;-;-;-;-;-;-;-
14626100;Gablenz;35;0;3;0;1;19;7
14626110;Görlitz, Stadt;3307;653;140;53;233;950;1547
14626120;Groß Düben;16;1;1;0;0;9;4
14626130;Großhennersdorf;-;-;-;-;-;-;-
14626140;Großschönau;176;6;13;3;10;72;85
14626150;Großschweidnitz;22;0;1;0;1;11;9
14626160;Hähnichen;34;2;2;0;.;15;15
14626170;Hainewalde;20;1;0;0;1;9;4
14626180;Herrnhut, Stadt;91;6;7;1;4;25;31
14626190;Hohendubrau;42;0;4;1;3;17;18
14626200;Horka;31;0;3;0;2;14;13
14626210;Jonsdorf, Kurort;19;.;1;0;.;8;5
14626220;Klitten;-;-;-;-;-;-;-
14626230;Kodersdorf;53;1;5;1;4;24;24
14626240;Königshain;15;1;1;0;1;9;7
14626245;Kottmar;128;2;11;1;12;54;39
14626250;Krauschwitz i.d. O.L.;74;2;8;1;4;26;27
14626260;Kreba-Neudorf;24;.;2;0;0;14;8
14626270;Lawalde;21;0;1;0;1;11;6
14626280;Leutersdorf;85;3;2;1;6;34;34
14626290;Löbau, Stadt;676;67;49;10;44;226;337
14626300;Markersdorf;74;2;4;1;5;30;21
14626310;Mittelherwigsdorf;55;2;5;1;2;30;14
14626320;Mücka;27;.;1;0;2;13;12
14626330;Neißeaue;38;2;3;1;1;19;16
14626340;Neugersdorf, Stadt;-;-;-;-;-;-;-
14626350;Neusalza-Spremberg, Stadt;89;3;2;1;6;43;31
14626360;Niedercunnersdorf;-;-;-;-;-;-;-
14626370;Niesky, Stadt;310;13;27;7;31;112;132
14626380;Obercunnersdorf;-;-;-;-;-;-;-
14626390;Oderwitz;108;2;10;1;9;40;29
14626400;Olbersdorf;145;4;13;2;12;58;63
14626410;Oppach;50;.;4;1;3;18;21
14626420;Ostritz, Stadt;83;9;1;0;1;38;36
14626430;Oybin;26;1;1;1;2;9;9
14626440;Quitzdorf am See;35;1;3;0;1;15;16
14626450;Reichenbach/O.L., Stadt;153;4;6;2;9;63;63
14626460;Rietschen;80;1;7;0;3;38;34
14626470;Rosenbach;30;1;5;0;0;9;10
14626480;Rothenburg/O.L., Stadt;135;8;9;1;8;53;59
14626490;Schleife;62;0;4;1;1;20;20
14626500;Schönau-Berzdorf a. d. Eigen;36;1;4;0;5;14;8
14626510;Schönbach;23;0;2;0;1;10;10
14626520;Schöpstal;45;3;1;1;1;23;22
14626530;Seifhennersdorf, Stadt;105;5;10;2;10;45;47
14626540;Sohland a. Rotstein;-;-;-;-;-;-;-
14626550;Strahwalde;-;-;-;-;-;-;-
14626560;Trebendorf;19;0;4;0;1;9;7
14626570;Vierkirchen;38;2;2;1;2;19;15
14626580;Waldhufen;63;1;4;1;4;31;26
14626590;Weißkeißel;42;2;4;1;2;17;16
14626600;Weißwasser/O.L., Stadt;927;54;56;13;57;302;463
14626610;Zittau, Stadt;1233;110;87;19;94;414;566
14627010;Coswig, Stadt;553;79;43;7;32;191;243
14627020;Diera-Zehren;63;1;5;0;2;29;23
14627030;Ebersbach;65;.;6;0;3;28;16
14627040;Glaubitz;28;0;3;1;1;11;5
14627050;Gröditz, Stadt;349;30;18;3;15;118;167
14627060;Großenhain, Stadt;589;44;48;7;37;185;230
14627070;Hirschstein;32;1;3;0;1;14;7
14627080;Käbschütztal;46;1;5;1;2;16;10
14627090;Ketzerbachtal;-;-;-;-;-;-;-
14627100;Klipphausen;181;3;14;2;8;74;80
14627110;Lampertswalde;51;0;5;0;1;18;21
14627120;Leuben-Schleinitz;-;-;-;-;-;-;-
14627130;Lommatzsch, Stadt;122;1;8;1;5;48;34
14627140;Meißen, Stadt;1412;182;96;15;103;377;542
14627150;Moritzburg;85;1;9;1;6;33;23
14627160;Nauwalde;-;-;-;-;-;-;-
14627170;Niederau;58;1;8;0;2;22;17
14627180;Nossen, Stadt;277;4;20;4;15;113;110
14627190;Nünchritz;99;2;13;1;5;39;29
14627200;Priestewitz;50;2;4;0;2;17;15
14627210;Radebeul, Stadt;615;47;52;8;34;217;206
14627220;Radeburg, Stadt;139;3;11;2;8;54;63
14627230;Riesa, Stadt;1244;160;116;14;70;376;481
14627240;Röderaue;58;0;10;0;5;24;27
14627250;Schönfeld;23;0;2;1;1;12;6
14627260;Stauchitz;54;1;6;1;2;26;16
14627270;Strehla, Stadt;97;1;12;1;4;45;28
14627280;Tauscha;-;-;-;-;-;-;-
14627290;Thiendorf;57;0;5;0;1;29;29
14627300;Triebischtal;-;-;-;-;-;-;-
14627310;Weinböhla;137;2;12;2;6;53;44
14627320;Weißig a. Raschütz;-;-;-;-;-;-;-
14627330;Wildenhain;-;-;-;-;-;-;-
14627340;Wülknitz;28;2;1;0;0;12;11
14627350;Zabeltitz;-;-;-;-;-;-;-
14627360;Zeithain;177;5;14;2;6;65;74
14628010;Altenberg, Stadt;158;15;10;4;14;57;58
14628020;Bad Gottleuba-Berggießhübel, Stadt;99;5;9;1;8;35;32
14628030;Bad Schandau, Stadt;91;6;7;2;4;37;24
14628040;Bahretal;35;1;3;0;1;11;13
14628050;Bannewitz;160;6;6;3;9;60;57
14628060;Dippoldiswalde, Stadt;228;11;14;4;14;80;91
14628070;Dohma;23;0;0;1;2;10;5
14628080;Dohna, Stadt;115;4;5;1;6;42;43
14628090;Dorfhain;15;1;0;0;1;6;2
14628100;Dürrröhrsdorf-Dittersbach;70;2;5;1;4;26;17
14628110;Freital, Stadt;1222;142;62;25;104;342;491
14628120;Geising, Stadt;-;-;-;-;-;-;-
14628130;Glashütte, Stadt;100;2;2;1;7;38;32
14628140;Gohrisch;31;0;4;0;1;13;5
14628150;Hartmannsdorf-Reichenau;13;.;-;-;0;7;4
14628160;Heidenau, Stadt;577;52;34;12;48;146;213
14628170;Hermsdorf/Erzgeb.;7;0;1;0;0;4;0
14628180;Höckendorf;-;-;-;-;-;-;-
14628190;Hohnstein, Stadt;60;1;4;1;2;28;15
14628200;Kirnitzschtal;-;-;-;-;-;-;-
14628205;Klingenberg;117;13;7;2;8;39;32
14628210;Königstein/Sächs. Schw., Stadt;58;6;2;1;3;17;18
14628220;Kreischa;56;2;4;2;4;19;20
14628230;Liebstadt, Stadt;17;.;4;0;0;11;7
14628240;Lohmen;41;1;2;1;2;16;12
14628250;Müglitztal;35;1;0;0;2;15;12
14628260;Neustadt in Sachsen, Stadt;302;14;18;4;19;107;112
14628270;Pirna, Stadt;1245;177;89;36;117;329;419
14628280;Porschdorf;-;-;-;-;-;-;-
14628290;Pretzschendorf;-;-;-;-;-;-;-
14628300;Rabenau, Stadt;71;1;4;2;7;29;28
14628310;Rathen, Kurort;9;1;0;0;1;4;1
14628320;Rathmannsdorf;21;1;0;1;2;5;5
14628330;Reinhardtsdorf-Schöna;20;0;2;0;2;8;3
14628340;Rosenthal-Bielatal;28;0;3;1;2;9;7
14628350;Schmiedeberg;-;-;-;-;-;-;-
14628360;Sebnitz, Stadt;267;13;11;5;20;86;73
14628370;Stadt Wehlen, Stadt;29;1;1;1;1;14;10
14628380;Stolpen, Stadt;103;1;8;2;5;32;32
14628390;Struppen;37;.;3;0;2;17;9
14628400;Tharandt, Stadt;85;5;6;1;4;29;26
14628410;Wilsdruff, Stadt;205;10;12;3;18;72;69
14713000;Leipzig, Stadt;19544;4183;1015;413;1791;3506;4568
14729010;Bad Lausick, Stadt;190;10;9;3;14;68;64
14729020;Belgershain;67;0;4;0;2;26;19
14729030;Bennewitz;86;1;6;2;6;28;26
14729040;Böhlen, Stadt;218;14;15;3;16;58;99
14729050;Borna, Stadt;838;146;44;20;73;173;303
14729060;Borsdorf;132;6;10;4;13;42;34
14729070;Brandis, Stadt;174;8;12;2;10;64;47
14729080;Colditz, Stadt;262;14;21;5;23;86;96
14729090;Deutzen;-;-;-;-;-;-;-
14729100;Elstertrebnitz;25;0;1;0;2;8;8
14729110;Espenhain;25;0;-;-;2;8;8
14729120;Eulatal;25;0;-;-;2;8;8
14729130;Falkenhain;25;0;-;-;2;8;8
14729140;Frohburg, Stadt;259;7;14;2;13;90;90
14729150;Geithain, Stadt;164;4;16;3;11;56;64
14729160;Grimma, Stadt;954;79;73;24;81;286;319
14729170;Groitzsch, Stadt;177;10;6;2;10;45;76
14729180;Großbothen;-;-;-;-;-;-;-
14729190;Großpösna;62;2;7;1;3;18;21
14729200;Hohburg;-;-;-;-;-;-;-
14729210;Kitzen;-;-;-;-;-;-;-
14729220;Kitzscher, Stadt;171;6;10;4;12;47;58
14729230;Kohren-Sahlis, Stadt;-;-;-;-;-;-;-
14729245;Lossatal;101;1;6;1;7;38;28
14729250;Machern;114;3;4;2;7;45;30
14729260;Markkleeberg, Stadt;529;63;37;8;32;125;200
14729270;Markranstädt, Stadt;358;29;22;7;27;87;127
14729280;Mutzschen, Stadt;-;-;-;-;-;-;-
14729290;Narsdorf;-;-;-;-;-;-;-
14729300;Naunhof, Stadt;170;7;12;1;10;56;53
14729310;Nerchau, Stadt;-;-;-;-;-;-;-
14729320;Neukieritzsch;220;9;18;7;19;62;81
14729330;Otterwisch;22;.;1;1;2;8;6
14729340;Parthenstein;50;2;3;1;4;20;14
14729350;Pegau, Stadt;162;12;9;2;12;36;63
14729360;Regis-Breitingen, Stadt;99;3;6;1;4;25;32
14729370;Rötha, Stadt;168;7;9;4;15;33;54
14729380;Thallwitz;68;2;5;2;4;31;18
14729390;Thümmlitzwalde;-;-;-;-;-;-;-
14729400;Trebsen/Mulde, Stadt;104;4;8;1;5;36;40
14729410;Wurzen, Stadt;594;44;47;13;52;148;166
14729420;Zschadraß;-;-;-;-;-;-;-
14729430;Zwenkau, Stadt;190;10;14;1;9;41;74
14730010;Arzberg;81;1;2;1;4;32;37
14730020;Bad Düben, Stadt;280;27;17;5;21;94;136
14730030;Beilrode;119;2;5;2;11;36;45
14730040;Belgern, Stadt;-;-;-;-;-;-;-
14730045;Belgern-Schildau, Stadt;180;3;13;2;9;65;66
14730050;Cavertitz;50;3;3;1;2;23;15
14730060;Dahlen, Stadt;107;4;6;2;8;39;37
14730070;Delitzsch, Stadt;1062;110;46;23;84;297;412
14730080;Doberschütz;76;2;5;0;4;29;25
14730090;Dommitzsch, Stadt;75;8;4;2;7;20;28
14730100;Dreiheide;35;1;2;0;1;14;12
14730110;Eilenburg, Stadt;711;55;36;16;71;199;293
14730120;Elsnig;36;.;3;1;2;10;14
14730130;Großtreben-Zwethau;-;-;-;-;-;-;-
14730140;Jesewitz;51;1;4;1;3;23;18
14730150;Krostitz;75;3;5;1;3;30;26
14730160;Laußig;109;6;6;3;10;40;40
14730170;Liebschützberg;58;1;5;1;4;24;18
14730180;Löbnitz;51;1;4;0;3;20;18
14730190;Mockrehna;116;6;6;1;6;48;44
14730200;Mügeln, Stadt;186;5;13;4;14;58;69
14730210;Naundorf;56;1;3;0;4;26;23
14730220;Neukyhna;-;-;-;-;-;-;-
14730230;Oschatz, Stadt;525;32;28;13;55;165;180
14730240;Pflückuff;-;-;-;-;-;-;-
14730250;Rackwitz;167;22;12;4;11;57;75
14730260;Schildau, Gneisenaustadt, Stadt;-;-;-;-;-;-;-
14730270;Schkeuditz, Stadt;499;68;38;9;36;156;189
14730280;Schönwölkau;70;2;4;0;3;27;24
14730290;Sornzig-Ablaß;-;-;-;-;-;-;-
14730300;Taucha, Stadt;389;43;23;10;38;122;155
14730310;Torgau, Stadt;1085;185;48;25;101;301;480
14730320;Trossin;24;1;3;1;1;11;8
14730330;Wermsdorf;124;4;6;1;6;42;46
14730340;Wiedemar;143;4;6;2;10;58;61
14730350;Zinna;-;-;-;-;-;-;-
14730360;Zschepplin;74;2;3;1;4;28;31
14730370;Zwochau;-;-;-;-;-;-;-
15001000;Dessau-Roßlau, Stadt;3050;440;181;60;288;718;1007
15002000;Halle (Saale), Stadt;9653;2310;466;219;975;1698;2726
15003000;Magdeburg, Landeshauptstadt;10275;2188;363;208;994;1901;3131
15081005;Ahlum;-;-;-;-;-;-;-
15081010;Algenstedt;-;-;-;-;-;-;-
15081015;Altensalzwedel;-;-;-;-;-;-;-
15081020;Altmersleben;-;-;-;-;-;-;-
15081025;Apenburg;-;-;-;-;-;-;-
15081026;Apenburg-Winterfeld, Flecken;56;1;7;1;4;17;25
15081030;Arendsee (Altmark), Stadt;247;6;8;5;15;77;104
15081035;Badel;-;-;-;-;-;-;-
15081040;Bandau;-;-;-;-;-;-;-
15081045;Beetzendorf;96;1;4;3;12;24;31
15081050;Benkendorf;-;-;-;-;-;-;-
15081055;Berge b. Gardelegen;-;-;-;-;-;-;-
15081060;Bierstedt;-;-;-;-;-;-;-
15081065;Binde;-;-;-;-;-;-;-
15081070;Bonese;-;-;-;-;-;-;-
15081075;Bornsen;-;-;-;-;-;-;-
15081080;Breitenfeld;-;-;-;-;-;-;-
15081085;Brunau;-;-;-;-;-;-;-
15081090;Chüden;-;-;-;-;-;-;-
15081095;Dähre;45;2;1;1;2;14;22
15081100;Dannefeld;-;-;-;-;-;-;-
15081105;Diesdorf, Flecken;54;0;0;0;1;17;22
15081110;Dönitz;-;-;-;-;-;-;-
15081115;Ellenberg, Altmark;-;-;-;-;-;-;-
15081120;Engersen;-;-;-;-;-;-;-
15081125;Estedt;-;-;-;-;-;-;-
15081130;Fleetmark;-;-;-;-;-;-;-
15081135;Gardelegen, Hansestadt;713;59;32;11;70;156;264
15081140;Gieseritz;-;-;-;-;-;-;-
15081145;Güssefeld;-;-;-;-;-;-;-
15081150;Hanum;-;-;-;-;-;-;-
15081155;Hemstedt;-;-;-;-;-;-;-
15081160;Henningen;-;-;-;-;-;-;-
15081165;Hohentramm;-;-;-;-;-;-;-
15081170;Hottendorf;-;-;-;-;-;-;-
15081175;Höwisch;-;-;-;-;-;-;-
15081180;Immekath;-;-;-;-;-;-;-
15081185;Jahrstedt;-;-;-;-;-;-;-
15081190;Jävenitz;-;-;-;-;-;-;-
15081195;Jeeben;-;-;-;-;-;-;-
15081200;Jeetze;-;-;-;-;-;-;-
15081205;Jeggau;-;-;-;-;-;-;-
15081210;Jeggeleben;-;-;-;-;-;-;-
15081215;Jerchel, Altmark;-;-;-;-;-;-;-
15081220;Jeseritz;-;-;-;-;-;-;-
15081225;Jübar;29;2;2;1;3;9;10
15081230;Kahrstedt;-;-;-;-;-;-;-
15081235;Kakerbeck;-;-;-;-;-;-;-
15081240;Kalbe (Milde), Stadt;261;10;11;7;18;66;96
15081245;Kassieck;-;-;-;-;-;-;-
15081250;Kaulitz;-;-;-;-;-;-;-
15081255;Kerkau;-;-;-;-;-;-;-
15081260;Kläden b. Arendsee, Altmark;-;-;-;-;-;-;-
15081265;Klein Gartz;-;-;-;-;-;-;-
15081270;Kleinau;-;-;-;-;-;-;-
15081275;Kloster Neuendorf;-;-;-;-;-;-;-
15081280;Klötze, Stadt;258;8;19;5;23;76;83
15081285;Köckte;-;-;-;-;-;-;-
15081290;Kuhfelde;29;2;1;0;0;11;10
15081295;Kunrau;-;-;-;-;-;-;-
15081300;Kusey;-;-;-;-;-;-;-
15081305;Lagendorf;-;-;-;-;-;-;-
15081310;Langenapel;-;-;-;-;-;-;-
15081315;Leppin, Altmark;-;-;-;-;-;-;-
15081320;Letzlingen;-;-;-;-;-;-;-
15081325;Liesten;-;-;-;-;-;-;-
15081330;Lindstedt;-;-;-;-;-;-;-
15081335;Lüdelsen;-;-;-;-;-;-;-
15081340;Mechau;-;-;-;-;-;-;-
15081345;Mehmke;-;-;-;-;-;-;-
15081350;Mellin;-;-;-;-;-;-;-
15081355;Mieste;-;-;-;-;-;-;-
15081360;Miesterhorst;-;-;-;-;-;-;-
15081365;Nettgau;-;-;-;-;-;-;-
15081370;Neuekrug;-;-;-;-;-;-;-
15081375;Neuendorf, Altmark;-;-;-;-;-;-;-
15081380;Neuendorf am Damm;-;-;-;-;-;-;-
15081385;Neuferchau;-;-;-;-;-;-;-
15081390;Neulingen, Altmark;-;-;-;-;-;-;-
15081395;Osterwohle;-;-;-;-;-;-;-
15081400;Packebusch;-;-;-;-;-;-;-
15081405;Peckfitz;-;-;-;-;-;-;-
15081410;Potzehne;-;-;-;-;-;-;-
15081415;Pretzier;-;-;-;-;-;-;-
15081420;Püggen;-;-;-;-;-;-;-
15081425;Rademin;-;-;-;-;-;-;-
15081430;Riebau;-;-;-;-;-;-;-
15081435;Ristedt;-;-;-;-;-;-;-
15081440;Rohrberg;24;.;3;0;1;10;12
15081445;Roxförde;-;-;-;-;-;-;-
15081450;Sachau;-;-;-;-;-;-;-
15081455;Salzwedel, Hansestadt;1071;156;44;24;102;240;467
15081460;Sanne-Kerkuhn;-;-;-;-;-;-;-
15081465;Schenkenhorst, Altmark;-;-;-;-;-;-;-
15081470;Schrampe;-;-;-;-;-;-;-
15081475;Schwiesau;-;-;-;-;-;-;-
15081480;Seebenau;-;-;-;-;-;-;-
15081485;Seethen;-;-;-;-;-;-;-
15081490;Sichau;-;-;-;-;-;-;-
15081495;Siedenlangenbeck;-;-;-;-;-;-;-
15081500;Solpke;-;-;-;-;-;-;-
15081505;Steimke;-;-;-;-;-;-;-
15081510;Steinitz;-;-;-;-;-;-;-
15081515;Tangeln;-;-;-;-;-;-;-
15081520;Thielbeer;-;-;-;-;-;-;-
15081525;Tylsen;-;-;-;-;-;-;-
15081530;Valfitz;-;-;-;-;-;-;-
15081535;Vienau;-;-;-;-;-;-;-
15081540;Vissum;-;-;-;-;-;-;-
15081545;Wallstawe;25;1;1;0;1;10;10
15081550;Wannefeld;-;-;-;-;-;-;-
15081555;Wenze;-;-;-;-;-;-;-
15081560;Wernstedt;-;-;-;-;-;-;-
15081565;Wieblitz-Eversdorf;-;-;-;-;-;-;-
15081570;Wiepke;-;-;-;-;-;-;-
15081575;Winkelstedt;-;-;-;-;-;-;-
15081580;Winterfeld;-;-;-;-;-;-;-
15081585;Zethlingen;-;-;-;-;-;-;-
15081590;Zichtau;-;-;-;-;-;-;-
15081595;Ziemendorf;-;-;-;-;-;-;-
15082005;Aken (Elbe), Stadt;312;14;15;9;28;83;134
15082010;Altjeßnitz;-;-;-;-;-;-;-
15082015;Bitterfeld-Wolfen, Stadt;1649;176;78;53;191;386;534
15082020;Bobbau;-;-;-;-;-;-;-
15082025;Bornum;-;-;-;-;-;-;-
15082030;Brehna;-;-;-;-;-;-;-
15082035;Buhlendorf;-;-;-;-;-;-;-
15082040;Burgkemnitz;-;-;-;-;-;-;-
15082045;Chörau;-;-;-;-;-;-;-
15082050;Deetz b. Stendal;-;-;-;-;-;-;-
15082055;Diebzig;-;-;-;-;-;-;-
15082060;Dobritz;-;-;-;-;-;-;-
15082065;Dornbock;-;-;-;-;-;-;-
15082070;Drosa;-;-;-;-;-;-;-
15082075;Edderitz;-;-;-;-;-;-;-
15082080;Elsnigk;-;-;-;-;-;-;-
15082085;Fraßdorf;-;-;-;-;-;-;-
15082090;Friedersdorf b. Bitterfeld;-;-;-;-;-;-;-
15082095;Gehrden b. Zerbst;-;-;-;-;-;-;-
15082100;Glauzig;-;-;-;-;-;-;-
15082105;Glebitzsch;-;-;-;-;-;-;-
15082110;Gödnitz;-;-;-;-;-;-;-
15082115;Görzig b. Köthen, Anh;-;-;-;-;-;-;-
15082120;Gossa;-;-;-;-;-;-;-
15082125;Grimme;-;-;-;-;-;-;-
15082130;Gröbern;-;-;-;-;-;-;-
15082135;Gröbzig;-;-;-;-;-;-;-
15082140;Großbadegast;-;-;-;-;-;-;-
15082145;Großpaschleben;-;-;-;-;-;-;-
15082150;Güterglück;-;-;-;-;-;-;-
15082155;Hinsdorf;-;-;-;-;-;-;-
15082160;Hohenlepte;-;-;-;-;-;-;-
15082165;Jeßnitz (Anhalt);-;-;-;-;-;-;-
15082170;Jütrichau;-;-;-;-;-;-;-
15082175;Kleinpaschleben;-;-;-;-;-;-;-
15082180;Köthen (Anhalt), Stadt;1335;115;57;42;126;291;587
15082185;Krina;-;-;-;-;-;-;-
15082190;Leps;-;-;-;-;-;-;-
15082195;Libbesdorf;-;-;-;-;-;-;-
15082200;Libehna;-;-;-;-;-;-;-
15082205;Lindau;-;-;-;-;-;-;-
15082210;Maasdorf;-;-;-;-;-;-;-
15082215;Marke;-;-;-;-;-;-;-
15082220;Meilendorf;-;-;-;-;-;-;-
15082225;Micheln;-;-;-;-;-;-;-
15082230;Moritz;-;-;-;-;-;-;-
15082235;Mühlbeck;-;-;-;-;-;-;-
15082240;Muldenstein;-;-;-;-;-;-;-
15082241;Muldestausee;185;4;11;3;9;72;58
15082245;Nedlitz b. Zerbst;-;-;-;-;-;-;-
15082250;Nutha;-;-;-;-;-;-;-
15082255;Osternienburg;-;-;-;-;-;-;-
15082256;Osternienburger Land;302;2;19;5;16;114;114
15082260;Petersroda;-;-;-;-;-;-;-
15082265;Piethen;-;-;-;-;-;-;-
15082270;Plodda;-;-;-;-;-;-;-
15082275;Polenzko;-;-;-;-;-;-;-
15082280;Pouch;-;-;-;-;-;-;-
15082285;Prosigk;-;-;-;-;-;-;-
15082290;Quellendorf;-;-;-;-;-;-;-
15082295;Radegast b. Köthen, Anh;-;-;-;-;-;-;-
15082300;Raguhn;-;-;-;-;-;-;-
15082301;Raguhn-Jeßnitz, Stadt;187;3;6;5;14;59;50
15082305;Reppichau;-;-;-;-;-;-;-
15082310;Retzau;-;-;-;-;-;-;-
15082315;Reuden/Anhalt;-;-;-;-;-;-;-
15082320;Reupzig;-;-;-;-;-;-;-
15082325;Riesdorf;-;-;-;-;-;-;-
15082330;Roitzsch;-;-;-;-;-;-;-
15082335;Rösa;-;-;-;-;-;-;-
15082340;Sandersdorf-Brehna, Stadt;330;12;19;11;30;107;114
15082345;Scheuder;-;-;-;-;-;-;-
15082350;Schierau;-;-;-;-;-;-;-
15082355;Schlaitz;-;-;-;-;-;-;-
15082360;Schortewitz;-;-;-;-;-;-;-
15082365;Schwemsal;-;-;-;-;-;-;-
15082370;Steutz;-;-;-;-;-;-;-
15082375;Straguth;-;-;-;-;-;-;-
15082377;Südliches Anhalt, Stadt;393;5;21;10;25;135;174
15082380;Thurland;-;-;-;-;-;-;-
15082385;Tornau vor der Heide;-;-;-;-;-;-;-
15082390;Trebbichau an der Fuhne;-;-;-;-;-;-;-
15082395;Trinum;-;-;-;-;-;-;-
15082400;Walternienburg;-;-;-;-;-;-;-
15082405;Weißandt-Gölzau;-;-;-;-;-;-;-
15082410;Wieskau;-;-;-;-;-;-;-
15082415;Wulfen;-;-;-;-;-;-;-
15082420;Zabitz;-;-;-;-;-;-;-
15082425;Zehbitz;-;-;-;-;-;-;-
15082430;Zerbst/Anhalt, Stadt;892;75;53;22;81;241;300
15082435;Zernitz;-;-;-;-;-;-;-
15082440;Zörbig, Stadt;200;2;13;3;10;65;61
15083005;Ackendorf;-;-;-;-;-;-;-
15083010;Alleringersleben;-;-;-;-;-;-;-
15083015;Altbrandsleben;-;-;-;-;-;-;-
15083020;Altenhausen;22;.;2;1;2;7;5
15083025;Am Großen Bruch;70;.;3;1;4;26;28
15083030;Angern;43;.;2;2;5;13;14
15083035;Ausleben;62;1;4;0;7;17;20
15083040;Barleben;138;3;9;2;8;45;29
15083045;Barneberg;-;-;-;-;-;-;-
15083050;Bartensleben;-;-;-;-;-;-;-
15083055;Bebertal;-;-;-;-;-;-;-
15083060;Beendorf;16;.;0;1;2;4;7
15083065;Behnsdorf;-;-;-;-;-;-;-
15083070;Belsdorf;-;-;-;-;-;-;-
15083075;Berenbrock;-;-;-;-;-;-;-
15083080;Bertingen;-;-;-;-;-;-;-
15083085;Böddensell;-;-;-;-;-;-;-
15083090;Born;-;-;-;-;-;-;-
15083095;Bornstedt b. Haldensleben;-;-;-;-;-;-;-
15083100;Bösdorf b. Haldensleben;-;-;-;-;-;-;-
15083105;Bottmersdorf;-;-;-;-;-;-;-
15083110;Bregenstedt;-;-;-;-;-;-;-
15083115;Bülstringen;11;.;1;0;1;3;3
15083120;Burgstall;31;0;6;0;1;14;7
15083125;Calvörde;75;2;5;1;6;18;32
15083130;Colbitz;65;0;6;0;3;24;22
15083135;Cröchern;-;-;-;-;-;-;-
15083140;Döhren;-;-;-;-;-;-;-
15083145;Dolle;-;-;-;-;-;-;-
15083150;Domersleben;-;-;-;-;-;-;-
15083155;Dorst;-;-;-;-;-;-;-
15083160;Drackenstedt;-;-;-;-;-;-;-
15083165;Dreileben;-;-;-;-;-;-;-
15083170;Druxberge;-;-;-;-;-;-;-
15083175;Eggenstedt;-;-;-;-;-;-;-
15083180;Eichenbarleben;-;-;-;-;-;-;-
15083185;Eickendorf b. Haldensleben;-;-;-;-;-;-;-
15083190;Eilsleben;92;1;7;1;5;27;31
15083195;Eimersleben;-;-;-;-;-;-;-
15083200;Emden;-;-;-;-;-;-;-
15083205;Erxleben;71;2;6;2;6;15;25
15083210;Eschenrode;-;-;-;-;-;-;-
15083215;Etingen;-;-;-;-;-;-;-
15083220;Everingen;-;-;-;-;-;-;-
15083225;Farsleben;-;-;-;-;-;-;-
15083230;Flechtingen;50;1;2;1;4;16;21
15083235;Glindenberg;-;-;-;-;-;-;-
15083240;Grauingen;-;-;-;-;-;-;-
15083245;Gröningen, Stadt;132;1;4;2;10;40;51
15083250;Groß Rodensleben;-;-;-;-;-;-;-
15083255;Groß Santersleben;-;-;-;-;-;-;-
15083260;Hadmersleben;-;-;-;-;-;-;-
15083265;Hakenstedt;-;-;-;-;-;-;-
15083270;Haldensleben, Stadt;611;80;39;14;72;135;178
15083275;Harbke;40;6;1;1;6;13;12
15083280;Heinrichsberg;-;-;-;-;-;-;-
15083285;Hermsdorf b. Wolmirstedt;-;-;-;-;-;-;-
15083290;Hillersleben;-;-;-;-;-;-;-
15083295;Hödingen;-;-;-;-;-;-;-
15083298;Hohe Börde;360;7;23;7;25;93;100
15083300;Hohendodeleben;-;-;-;-;-;-;-
15083305;Hohenwarsleben;-;-;-;-;-;-;-
15083310;Hornhausen;-;-;-;-;-;-;-
15083315;Hörsingen;-;-;-;-;-;-;-
15083320;Hötensleben;104;3;6;2;6;37;42
15083323;Ingersleben;32;1;1;0;2;13;10
15083325;Irxleben;-;-;-;-;-;-;-
15083330;Ivenrode;-;-;-;-;-;-;-
15083335;Kathendorf;-;-;-;-;-;-;-
15083340;Klein Rodensleben;-;-;-;-;-;-;-
15083345;Klein Wanzleben, Zuckerdorf;-;-;-;-;-;-;-
15083350;Klüden;-;-;-;-;-;-;-
